movie_title,director,year
9 секунд,Олег Штром,
Василиса и хранители времени (фильм),Павел Лунгин,2024
Субстанция (фильм),Корали Фаржа,2024
"Сокровище (фильм, 2024)",,
Сицилийские письма,,
"7 дней, 7 ночей",,2024
Трансформеры: Начало,Джош Кули,
Орион и Тьма,,
"Москва, которую мы потеряли",,
12 этажей спустя,Джеф Агаев,
Мегамозг против Синдиката рока,,
Дикий робот,Крис Сандерс,
Головоломка 2,,
10 жизней,Крис Дженкинс,
Разбитые сердца (фильм),,2024
Саван (фильм),Дэвид Кроненберг,2024
Исповеди тьмы (фильм),,2024
Элио (мультфильм),,
"Побег (фильм, 2024, Испания)",,2024
"Потоп (фильм, 2024)",,
Пепе (фильм),,2024
Непосредственное действие,,
Партенопа (фильм),Паоло Соррентино,2024
Ларго Винч: Гнев прошлого,,
"Красавица (фильм, 2024)",,
Что случилось осенью,Франсуа Озон,2024
Три кота: Зимние каникулы,Дмитрий Высоцкий,
Сентябрь говорит,Ариана Лабед,2024
Три богатыря. Ни дня без подвига,,
Иностранный язык (фильм),,2024
Очарованная,,
И дети после них,,
"Империя (фильм, 2024)",,2024
"Здравствуй, грусть! (фильм, 2024)",,2024
Женщины с балкона,Ноэми Мерлан,
Марчелло Мио,,2024
"Граф Монте-Кристо (фильм, 2024)",,2024
Мотель Дестино,,2024
"Всё, что нам кажется светом",,
Лунтик. Возвращение домой,Константин Бронзит,
Возвращение Одиссея,,
Дикий алмаз,,2024
Архитектон,Виктор Косаковский,
"Вне времени (фильм, 2024)",,2024
Тихое место: Азраэль,,2024
Реинкарнация. Новая глава,,
Горная невеста,,
"Лимб (фильм, 2023)",,
"Кровь за кровь (фильм, 2023)",Мэтью Нэйбл,2023
Бюро магических услуг,,
"Сыновья (фильм, 2024)",,2024
Мой любимый торт,,2024
Sommartider (фильм),,
Одержимые злом,,2023
Конец (фильм),,2024
Заплыв домой,,2024
"Глаза незнакомца (фильм, 2024)",,
Дагомея (фильм),,
"Сёрфер (фильм, 2024)",,
Красавица и дракон,,
Не время умирать,Кэри Фукунага,2021
Истребитель демонов: Поезд «Бесконечный»,,
"Мелочи жизни (фильм, 2024)",,2024
"Чёрная вдова (фильм, 2021)",Кейт Шортланд,2021
Платформа 2,,2024
Комната по соседству,,
The Beatles: Get Back,Питер Джексон,2021
Семя священного инжира,Мохаммад Расулоф,2024
Крушение мира,,2024
Дьявольская баня,,2024
Выгон (фильм),,
Аватар 4,Джеймс Кэмерон,
"Жизнь (фильм, 2024)",,2024
"Я всё ещё здесь (фильм, 2024)",,
"Двойная игра (фильм, 2023)",,2023
Воины сумерек: Осада Коулуна,,2024
"Поле боя (фильм, 2024)",,2024
Свет (фильм),,
Дива будущего,,
"Сенсация (фильм, 2024)",,
Разрез (фильм),,2024
Пятый битл,,
"Крики, а потом — тишина",,2024
"Птица (фильм, 2024)",Андреа Арнольд,
Винни-Пух: Кровь и мёд 2,Рис Фрейк-Уотерфилд,2024
"Одиссея (фильм, 2026)",Кристофер Нолан,2026
Супергёрл: Женщина завтрашнего дня,Крейг Гиллеспи,2026
Мандалорец и Грогу,Джон Фавро,2026
