title,ganre,director,country,year
Счастье быть женщиной,,,,
"Мойдодыр (мультфильм, 1927)",,Мария Бендерская,,
"Винтик-шпинтик (мультфильм, 1927)",,Владислав Твардовский,,
Старик Хоттабыч (фильм),,Геннадий Казанский,,
"Сорок первый (фильм, 1956)",,Григорий Чухрай,,
Таинство Пикассо,,Анри-Жорж Клузо,,1956
"Тото, Пеппино и распутница",,,,
Эскизы углём,,Антоний Богдзевич,,1956
"Тень (фильм, 1956)",,Ежи Кавалерович,,1956
Украинизация (мультфильм),,Вячеслав Левандовский,,
"Собор Парижской Богоматери (фильм, 1956)",,Жан Деланнуа,,
Сказка про соломенного бычка,,Вячеслав Левандовский,,
Солдаты (фильм),,Александр Иванов,,1956
"Слова, написанные на ветру",,Дуглас Сирк,,1956
"Смерть негодяя (фильм, 1956)",,Чарльз Мартин,,1956
Смерть в этом саду,,Луис Бунюэль,,1956
Скрытые настроения,,Кодзабуро Ёсимура,,
Сисси — молодая императрица,,Эрнст Маришка,,1956
"Серенада (фильм, 1956)",,Энтони Манн,,1956
"Трое в лодке, не считая собаки (фильм, 1956)",,Кен Эннакин,,
Сердце бьётся вновь…,,Абрам Роом,,1956
"Тараканище (мультфильм, 1927)",,Александр Иванов,,
"Одна из многих (мультфильм, 1927)",,Николай Ходатаев,,
Каток (мультфильм),,Юрий Желябужский,,
"Робинзон Крузо (фильм, 1954)",,Луис Бунюэль,,1954
"Страх (фильм, 1954)",,Роберто Росселлини,,1954
"Хлеб, любовь и ревность",,,,
Чувство (фильм),,Лукино Висконти,,1954
Странствия Одиссея,,"Марио Камерини,Марио Бава",,1954
"Соблазнитель (фильм, 1954)",,,,
,,,,
"Пробуждение (фильм, 1954, Индия)",,,,1954
Бирадж Баху,,Бимал Рой,,1954
Мирза Галиб (фильм),,,,
"Свадьба (фильм, 1954)",,,,1954
"Ромео и Джульетта (фильм, 1954, Великобритания)",,Ренато Кастеллани,,1954
"Молодые любовники (фильм, 1954)",,Энтони Асквит,,1954
Путешествие в Италию,,Роберто Росселлини,,1954
Выбор Хобсона (фильм),,Дэвид Лин,,
Дьяволица с Марса,,Дэвид Макдональд,,
Добро умирает в зародыше,,Льюис Гилберт,,
Танковая бригада (фильм),,"Иво Томан,Ярослав Балик",,1955
Ян Жижка (фильм),,Отакар Вавра,,1955
Путешествие к началу времён,,Карел Земан,,1955
Музыка с Марса,,"Ян Кадар,Эльмар Клос",,1955
Зарево над Кладно,,Владимир Влчек,,1955
Шелест (фильм),,Августо Дженина,,1955
Ангел в горах,,Борживой Земан,,1955
"Кровавая дорога (фильм, 1955)",,"Коре Бергстрём,Радош Новакович",,1955
Сын Каролины Шери,,,,1955
Самая красивая женщина в мире,,Роберт З. Леонард,,1955
Облава на торговцев наркотиками,,Анри Декуэн,,1955
Ночная Маргарита,,Клод Отан-Лара,,1955
"Нельская башня (фильм, 1955)",,Абель Ганс,,1955
"Женщина на пляже (фильм, 1955)",,Джозеф Пивни,,1955
Женщина из племени апачей,,Роджер Корман,,
Жестокая суббота,,Ричард Флейшер,,1955
Этот остров Земля,,"Джозеф М. Ньюман,Джек Арнольд",,1955
Я буду плакать завтра,,Дэниэл Манн,,1955
Я умирал тысячу раз,,Стюарт Хейслер,,1955
К новому берегу,,Леонид Луков,,1955
Чужая родня,,Михаил Швейцер,,1955
Тревога в горах,,,,1955
Тень у пирса,,Михаил Винярский,,1955
Счастье Андруса,,Герберт Раппапорт,,1955
Счастливая юность,,"Сергей Гуров,Эльдар Рязанов",,
"Судьба барабанщика (фильм, 1955)",,Виктор Эйсымонт,,1955
Солдат Иван Бровкин,,Иван Лукинский,,
Это было в Шугле,,Мажит Бегалин,,1955
"Сын (фильм, 1955)",,Юрий Озеров,,1955
"Следы на снегу (фильм, 1955)",,Адольф Бергункер,,1955
Пути и судьбы,,Яков Базелян,,1955
Педагогическая поэма (фильм),,"Алексей Маслюков,Мечислава Маевская",,
Первый эшелон,,Михаил Калатозов,,1955
Попрыгунья (фильм),,Самсон Самсонов,,1955
Призраки покидают вершины,,"Эразм Карамян,Степан Кеворков",,
Приключения с пиджаком Тарапуньки,,Виктор Иванов,,1955
"Овод (фильм, 1955)",,Александр Файнциммер,,1955
Море зовёт (фильм),,Владимир Браун,,1955
"Отелло (фильм, 1955)",,Сергей Юткевич,,1955
"Мексиканец (фильм, 1955)",,Владимир Каплуновский,,1955
Неоконченная повесть,,Фридрих Эрмлер,,1955
"Михайло Ломоносов (фильм, 1955)",,Александр Иванов,,1955
"Мать (фильм, 1955)",,Марк Донской,,1955
Матрос Чижик,,Владимир Браун,,1955
Максим Перепелица (фильм),,Анатолий Граник,,1955
Ляна,,Борис Барнет,,1955
Лурджа Магданы,,"Тенгиз Абуладзе,Резо Чхеидзе",,1955
Крушение эмирата,,"Владимир Басов,Латиф Файзиев",,1955
Салтанат (фильм),,Василий Пронин,,1955
Урок жизни,,Юлий Райзман,,1955
"Княжна Мери (фильм, 1955)",,Исидор Анненский,,1955
Золотой бычок,,Никита Акопян,,1955
Зелёные огни,,"Сергей Сплошнов,Иосиф Шульман",,1955
Звёзды на крыльях,,Исаак Шмарук,,1955
За витриной универмага,,Самсон Самсонов,,1955
Дым в лесу,,"Евгений Карелов,Юрий Чулюкин",,1955
"Дорога (фильм, 1955)",,Александр Столпер,,1955
"Доброе утро (фильм, 1955)",,Андрей Фролов,,1955
Девушка-джигит,,Павел Боголюбов,,1955
Дело Румянцева,,Иосиф Хейфиц,,1955
"Двенадцатая ночь (фильм, 1955)",,Ян Фрид,,
"Два капитана (фильм, 1955)",,Владимир Венгеров,,1955
Земля и люди,,Станислав Ростоцкий,,1955
Встретимся на стадионе (фильм),,,,
В поисках адресата,,"Амасий Мартиросян,Юрий Ерзинкян",,1955
"Встреча (фильм, 1955)",,Тофик Таги-заде,,1955
Васёк Трубачёв и его товарищи (фильм),,Илья Фрэз,,1955
Гость с Кубани,,,,
В квадрате 45,,Юрий Вышинский,,1955
Белый пудель (фильм),,"Марианна Рошаль,Владимир Шредель",,1955
"Бахтияр (фильм, 1955)",,Лятиф Сафаров,,1955
Эбботт и Костелло встречают полицейских из Кистоуна,,,,
Это прибыло со дна моря,,,,
Эбботт и Костелло встречают Мумию,,Чарльз Лэмонт,,1955
Школьные джунгли,,Ричард Брукс,,1955
"В один прекрасный день (фильм, 1955)",,Михаил Слуцкий,,1955
"Часы отчаяния (фильм, 1955)",,Уильям Уайлер,,
"Хрустальный башмачок (фильм, 1955)",,Чарльз Уолтерс,,1955
Чикагский синдикат (фильм),,Фред Ф. Сирс,,1955
Фантом с глубины 10 000 лиг,,,,
Целуй меня насмерть,,Роберт Олдрич,,1955
Узкое место (фильм),,Фил Карлсон,,1955
Тринити и что было потом,,,,1995
