film_title,director
"Мама (фильм, 2013)",Энди МускеттиDoña Lupe (короткометражный; 1985)Геометрия (короткометражный; 1987)Хронос (1993)Мутанты (1997)Хребет дьявола (2001)Блэйд 2 (2002)Хеллбой (2004)Лабиринт фавна (2006)Хеллбой 2: Золотая армия (2008)Тихоокеанский рубеж (2013)Багровый пик (2015)Форма воды (2017)Аллея кошмаров (2021)Пиноккио (2022)Франкенштейн (2025)
Лето. Пляж. Кино,Джеффри Хорнадэй
Земной апокалипсис,Тандер Левин
"Европа (фильм, 2013)",Себастьян Кордеро
Игра Эндера (фильм),Гэвин Худ
Конгресс (фильм),Ари ФольманЙони Гудман (анимация)
"Колония (фильм, 2013)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Джефф Ренфро"
Джек — покоритель великанов,Брайан Сингер
Гостья (фильм),Эндрю Никкол
Гравитация (фильм),Альфонсо Куарон
"Вне времени (фильм, 2013)",Ролан Жоффе
