film_title,genre,director,country,year
"Занавес (фильм, 2016)",социальная драма,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Эмиль Гулиев вд,Азербайджан,2016
"Я — Иван, ты — Абрам",драма,Йоланда Зоберман фр,Франция Беларусь,1993
Кешка и Фреди,комедия ужасов,Борис Берзнер,Беларусь,1992
Чёрный аист (фильм),,Виктор Туров,Беларусь,1993
Гладиатор по найму,детективный фильм боевик,Дмитрий Зайцев,Украина Беларусь,1993
Сары Гялин (фильм),военный фильм драма,Явер Рзаев,Азербайджан,1998
Прерванные воспоминания,фильмдрама военный фильм,Эльхан Джафаров,Азербайджан Беларусь,2015
"Яраса (фильм, 1995)",драма,Аяз Салаев,Азербайджан,1995
"Чёрная метка (фильм, 2003)",политический боевик,Вагиф Мустафаев,Азербайджан,2003
Тахмина (фильм),мелодрама,Расим Оджагов,Азербайджан,1993
