film_title,director,year
Французская женщина,,1995
Цветы любви,,1997
"Стоунволл (фильм, 1995)",,1995
Цоци,,2005
Категория,,
Заплыв домой,,2024
Уиллоу,,1988
Ужасно большое приключение,,1995
Цена победы,,2000
"Хлеб и розы (фильм, 2000)",,2000
"Человек, который плакал",,2000
"Фанатик (фильм, 2000)",,2000
Эрик-викинг,,1989
Я мечтала об Африке,,2000
Чёрная радуга,,1989
Экспресс Петербург-Канны,,2003
"Ричард III (фильм, 1995)",,1995
"Поток (фильм, 1989)",,1989
Шерлок Холмс и примадонна,,
Чернобыль: Последнее предупреждение,,
Цареубийца (фильм),,1991
"Радуга (фильм, 1989)",,1989
Сёгун Маэда,,
"Чудо (фильм, 1991)",,1991
Происшествие на водопаде Виктория,,
Эдуард II (фильм),,1991
Французская революция (фильм),,1989
"Робин Гуд (фильм, 1991)",,1991
Ястребы (фильм),,
Обед нагишом (фильм),,1991
"Искренне, безумно, сильно",,1991
Рифф-Рафф,,1991
"Маленький отважный паровозик Тилли (мультфильм, 1991)",,
"Скандал (фильм, 1989)",,1989
Последний поворот на Бруклин (фильм),,1989
"Повар, вор, его жена и её любовник",,
Общение (фильм),,1989
Невероятные приключения Уоллеса и Громита: Пикник на Луне,,
Вой 6: Уродцы,,1991
Мы (телесериал),,
Моя левая нога,,
Комедия о Лисистрате,,
Назад (фильм),,1991
Услышьте мою песню,,1991
Все псы попадают в рай,,
Как преуспеть в рекламе,,1989
Новые приключения Пса и его друзей,,
"Колдовской апрель (фильм, 1991)",,1991
"Возвращение мушкетёров (фильм, 1989)",,1989
В поисках Лэнгстона,,
Вой 5: Возрождение,,1989
Всё как надо,,1989
"Саботаж! (фильм, 2000)",,2000
"Верзила (фильм, 1989)",,1989
