title,genre
Клипмейкеры (фильм),комедия
Кладбище домашних животных: Кровные узы,фильм ужасов о сверхъестественном
Капсульное поколение,комедия
Кино 3.0,документальный фильм
Кентавр (фильм),триллер
Капитан Марвел 2,"супергероика,боевик,научная фантастика"
Деньги (порнофильм),порнофильм
"Двойная петля (фильм, 2022)","байопик,военный"
,драматический фильм
,драматический фильм
"Прощай, Багдад",драматический фильм
Редкие цветы,"мелодрама,биография"
Очень плохие парни,"драма,детектив,триллер"
Я люблю Новый год,мелодрама
"Два, три, демон, приди!","фильм ужасов,2,фильм-триллер,2"
One Direction: Это мы,"документальный фильм,музыкальный фильм"
Девица (фильм),"вестерн,2,комедийная драма,2,драматический фильм"
